,cancer_type,Full-data acc.,Full-data comp. time,PCA components,PCA calc. time,PCA explained variance,PCA acc.,Precision,Recall,F1Score
69,UCEC,0.981651376146789,16.157068610191345,10,0.007966160774230957,0.3399183847981069,0.9174311926605505,[0.92307692 0.9122807 ],[0.90566038 0.92857143],[0.91428571 0.92035398]
70,SKCM,0.9891304347826086,0.933259904384613,10,0.01636749505996704,0.3414506487086799,0.9782608695652174,[0.97777778 0.9787234 ],[0.97777778 0.9787234 ],[0.97777778 0.9787234 ]
71,PRAD,1.0,0.8269781470298767,10,0.02216053009033203,0.3709170506283554,0.9906542056074766,[0.98113208 1.        ],[1.         0.98181818],[0.99047619 0.99082569]
72,HNSC,0.963302752293578,1.3034116625785828,10,0.0072517991065979,0.3539229070388996,0.9724770642201835,[0.98076923 0.96491228],[0.96226415 0.98214286],[0.97142857 0.97345133]
73,KIRP,1.0,0.5993337631225586,10,0.006821572780609131,0.38532694125415445,0.9846153846153847,[0.96969697 1.        ],[1.         0.96969697],[0.98461538 0.98461538]
74,CESC,0.9180327868852459,0.8605280518531799,10,0.013504743576049805,0.3423306718324756,0.9016393442622951,[0.875      0.93103448],[0.93333333 0.87096774],[0.90322581 0.9       ]
75,THCA,0.991304347826087,0.8387665748596191,10,0.016982555389404297,0.37957822333174795,1.0,[1. 1.],[1. 1.],[1. 1.]
76,KIRC,1.0,1.253466010093689,10,0.008789360523223877,0.37396301979943325,0.9743589743589743,[0.98214286 0.96721311],[0.96491228 0.98333333],[0.97345133 0.97520661]
77,STAD,0.9545454545454546,1.0905410051345825,10,0.006098330020904541,0.339361351528211,0.9431818181818182,[0.91304348 0.97619048],[0.97674419 0.91111111],[0.94382022 0.94252874]
78,COAD,0.9479166666666666,1.1397594809532166,10,0.010055720806121826,0.3649234346913874,0.96875,[0.95833333 0.97916667],[0.9787234  0.95918367],[0.96842105 0.96907216]
79,READ,0.9705882352941176,0.5857704281806946,10,0.005301237106323242,0.39948927525745254,0.9705882352941176,[0.94444444 1.        ],[1.         0.94117647],[0.97142857 0.96969697]
80,LGG,0.9902912621359223,0.8499014973640442,10,0.01916790008544922,0.40045476718304024,0.970873786407767,[0.96078431 0.98076923],[0.98       0.96226415],[0.97029703 0.97142857]
81,MESO,0.9444444444444444,0.3141738176345825,10,0.007072508335113525,0.3868046823460916,0.9444444444444444,[1.  0.9],[0.88888889 1.        ],[0.94117647 0.94736842]
82,LAML,1.0,0.3788658380508423,10,0.004612326622009277,0.45391497330600017,1.0,[1. 1.],[1. 1.],[1. 1.]
83,BLCA,0.9285714285714286,0.9167298078536987,10,0.00794297456741333,0.33084450303377083,0.8928571428571429,[0.9        0.88636364],[0.87804878 0.90697674],[0.88888889 0.89655172]
84,OV,0.9836065573770492,0.5164059400558472,10,0.009448230266571045,0.3208322193622583,0.9836065573770492,[1.      0.96875],[0.96666667 1.        ],[0.98305085 0.98412698]
85,LUSC,0.9439252336448598,1.0870527625083923,10,0.006905674934387207,0.3250293827916353,0.897196261682243,[0.90196078 0.89285714],[0.88461538 0.90909091],[0.89320388 0.9009009 ]
86,ACC,1.0,0.3077089190483093,10,0.009318768978118896,0.40534791973998435,0.9375,[1.         0.88888889],[0.875 1.   ],[0.93333333 0.94117647]
87,THYM,0.9583333333333334,0.31873250007629395,10,0.007993578910827637,0.4668446642268087,1.0,[1. 1.],[1. 1.],[1. 1.]
88,ESCA,1.0,0.47919172048568726,10,0.004750728607177734,0.36253069810001376,0.9473684210526315,[1.        0.9047619],[0.89473684 1.        ],[0.94444444 0.95      ]
89,PAAD,1.0,0.4239569306373596,10,0.005328118801116943,0.3921867219358809,0.9722222222222222,[0.94736842 1.        ],[1.         0.94444444],[0.97297297 0.97142857]
90,LIHC,0.9634146341463414,0.9462777972221375,10,0.01297605037689209,0.366530992413563,0.9634146341463414,[0.95121951 0.97560976],[0.975      0.95238095],[0.96296296 0.96385542]
91,SARC,0.9803921568627451,0.5875303149223328,10,0.006031692028045654,0.32987521529427577,0.9803921568627451,[1.         0.96296296],[0.96 1.  ],[0.97959184 0.98113208]
92,GBM,1.0,0.48865604400634766,10,0.006196916103363037,0.4149073673964771,1.0,[1. 1.],[1. 1.],[1. 1.]
93,TGCT,1.0,0.3941833972930908,10,0.006245434284210205,0.4473646527673672,1.0,[1. 1.],[1. 1.],[1. 1.]
94,KICH,0.95,0.3043738603591919,10,0.009150147438049316,0.44499696390743887,0.95,[0.90909091 1.        ],[1.  0.9],[0.95238095 0.94736842]
95,PCPG,1.0,0.3655134439468384,10,0.005910992622375488,0.4066302299989444,1.0,[1. 1.],[1. 1.],[1. 1.]
96,UCS,0.8333333333333334,0.27199482917785645,10,0.00586777925491333,0.4189436337652899,0.8333333333333334,[1.   0.75],[0.66666667 1.        ],[0.8        0.85714286]
97,UVM,1.0,0.28226399421691895,10,0.004906296730041504,0.49308395659673154,1.0,[1. 1.],[1. 1.],[1. 1.]
98,CHOL,0.8,0.27284884452819824,10,0.00704115629196167,0.5002971466906975,1.0,[1. 1.],[1. 1.],[1. 1.]
99,BRCA,0.9653679653679653,2.097652494907379,20,0.018165946006774902,0.41204801154837556,0.9783549783549783,[0.97272727 0.98347107],[0.98165138 0.97540984],[0.97716895 0.97942387]
100,LUAD,0.9819819819819819,1.0839329361915588,20,0.012109041213989258,0.42238997008731144,0.990990990990991,[1.         0.98275862],[0.98148148 1.        ],[0.99065421 0.99130435]
101,DLBC,1.0,0.2759134769439697,20,0.0044168829917907715,0.6659497048340458,1.0,[1. 1.],[1. 1.],[1. 1.]
102,UCEC,0.944954128440367,1.0448545217514038,20,0.017024219036102295,0.44599458290103466,0.9357798165137615,[0.94230769 0.92982456],[0.9245283  0.94642857],[0.93333333 0.9380531 ]
103,SKCM,1.0,0.9180900454521179,20,0.02379363775253296,0.43480425274588136,0.9891304347826086,[1.         0.97916667],[0.97777778 1.        ],[0.98876404 0.98947368]
104,PRAD,1.0,0.7437862753868103,20,0.019616127014160156,0.47115548807756735,1.0,[1. 1.],[1. 1.],[1. 1.]
105,HNSC,0.981651376146789,1.3642421960830688,20,0.012195765972137451,0.4554708309654539,0.9174311926605505,[0.90740741 0.92727273],[0.9245283  0.91071429],[0.91588785 0.91891892]
106,KIRP,1.0,0.7670424580574036,20,0.0211067795753479,0.48414805222345986,0.9846153846153847,[0.96969697 1.        ],[1.         0.96969697],[0.98461538 0.98461538]
107,CESC,0.9344262295081968,0.8358240127563477,20,0.014208734035491943,0.4383086633046332,0.9016393442622951,[0.875      0.93103448],[0.93333333 0.87096774],[0.90322581 0.9       ]
108,THCA,1.0,0.7738057971000671,20,0.024210035800933838,0.4850026760126934,1.0,[1. 1.],[1. 1.],[1. 1.]
109,KIRC,0.9914529914529915,1.3017427325248718,20,0.01697397232055664,0.47319441324116246,0.9829059829059829,[0.98245614 0.98333333],[0.98245614 0.98333333],[0.98245614 0.98333333]
110,STAD,0.9659090909090909,0.8947745561599731,20,0.015570878982543945,0.44193536041846393,0.9204545454545454,[0.90909091 0.93181818],[0.93023256 0.91111111],[0.91954023 0.92134831]
111,COAD,0.9583333333333334,1.1615373492240906,20,0.022962749004364014,0.46565932969004714,0.9583333333333334,[0.95744681 0.95918367],[0.95744681 0.95918367],[0.95744681 0.95918367]
112,READ,0.8529411764705882,0.6667810082435608,20,0.008490979671478271,0.5327252473425286,0.8529411764705882,[0.875      0.83333333],[0.82352941 0.88235294],[0.84848485 0.85714286]
